Year,Common #,Indi. #,Risk factor,Formation,Type,Journal,Short reference,Full reference,Link without href,Predictability.in.OP,Coverage,New Journal,notes
2002,NA,49,Short-sale constraints,Shorting costs for NYSE stocks,Individual microstructure,Journal of Financial Economics,Jones and Lamont (2002),"Jones, Charles M and Owen A Lamont, 2002, ``Short-sale constraints and stock returns"", Journal of Financial Economics 66, 207-239.",http://www.sciencedirect.com/science/article/pii/S0304405X02002246,z3_harddata,proprietary data,NA,NA
2003,NA,54,Order backlog,"Order backlog divided by average total assets, transformed to a scaled-decile variable",Individual accounting,Review of Accounting Studies,"Rajgopal, Shevlin and Venkatachalam (2003)","Rajgopal, Shivaram, Terry Shevlin and Mohan Venkatachalam, 2012, Does the stock market fully appreciate the implications of leading indicators for future earnings? Evidence from order backlog, Review of Accounting Studies 8, 461-492.",http://link.springer.com/content/pdf/10.1023%2FA%3A1027364031775.pdf,z3_harddata,proprietary data,NA,NA
2004,NA,59,Put-call parity,Violations of put-call parity,Individual financial,Journal of Financial Economics,"Ofek, Richardson and Whitelaw (2004)","Ofek, Eli, Matthew Richardson and Robert Whitelaw, 2004, Limited arbitrage and short sales restrictions: evidence from the options markets, Journal of Financial Economics 74, 305-342.",http://www.sciencedirect.com/science/article/pii/S0304405X04000662,z3_harddata,proprietary data,NA,NA
2006,NA,77,Environment indicator,A composite index measuring a firm's environmental responsibility,Individual other,Financial Management,"Brammer, Brooks and Pavelin (2006)","Brammer, Stephen, Chris Brooks and Stephen Pavelin, 2006, ``Corporate social performance and stock returns: UK evidence from disaggregate measures"", Financial Management 35, 97-116.",http://onlinelibrary.wiley.com/doi/10.1111/j.1755-053X.2006.tb00149.x/pdf,z3_harddata,proprietary data,NA,NA
NA,NA,78,Employment indicator,A composite index measuring employee responsibility,Individual other,Financial Management,"Brammer, Brooks and Pavelin (2006)","Brammer, Stephen, Chris Brooks and Stephen Pavelin, 2006, ``Corporate social performance and stock returns: UK evidence from disaggregate measures"", Financial Management 35, 97-116.",http://onlinelibrary.wiley.com/doi/10.1111/j.1755-053X.2006.tb00149.x/pdf,z3_harddata,proprietary data,NA,NA
NA,NA,79,Community indicator,A composite index measuring community responsiveness,Individual other,Financial Management,"Brammer, Brooks and Pavelin (2006)","Brammer, Stephen, Chris Brooks and Stephen Pavelin, 2006, ``Corporate social performance and stock returns: UK evidence from disaggregate measures"", Financial Management 35, 97-116.",http://onlinelibrary.wiley.com/doi/10.1111/j.1755-053X.2006.tb00149.x/pdf,z3_harddata,proprietary data,NA,NA
2009,NA,109,Media coverage,Firm mass media coverage,Individual behavioral,Journal of Finance,Fang and Peress (2009),"Fang, Lily and Joel Peress, 2009, ``Media coverage and the cross-section of stock returns"", Journal of Finance 64, 2023-2052.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2009.01493.x/pdf,z3_harddata,proprietary data,NA,NA
2010,NA,126,Political campaign contributions,Firm contributions to US political campaigns,Individual other,Journal of Finance,"Cooper, Gulen and Ovtchinnikov (2010)","Cooper, Michael J., Huseyin Gulen and Alexei V. Ovtchinnikov, 2010, ``Corporate political contributions and stock returns"", Journal of Finance 65, 687-724.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2009.01548.x/pdf,z3_harddata,proprietary data,NA,NA
2011,NA,143,Intangibles,"Employee satisfaction proxied by the list of ``100 Best Companies to Work for in America""",Individual other,Journal of Financial Economics,Edmans (2011),"Edmans, Alex, 2011, ``Does the stock market fully value intangibles? Employee satisfaction and equity prices"", Journal of Financial Economics 101, 621-640.",http://www.sciencedirect.com/science/article/pii/S0304405X11000869,z3_harddata,proprietary data,NA,NA
2011,NA,153,Labor unions,Labor force unionization measured by the percentage of employed workers in a firm's primary Census industry Classification industry covered by unions in collective bargaining with employers,Individual other,Journal of Financial and Quantitative Analysis,"Chen, Kacperczyk and Ortiz-Molina (2011)","Chen, Huafeng, Marcin Kacperczyk and Hernan Ortiz-Molina, 2011, Labor unions, operating flexibility, and the cost of equity, Journal of Financial and Quantitative Analysis 46, 25-58.",http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=8218526,z3_harddata,proprietary data,NA,NA
2012,NA,169,Geographic dispersion,Number of states in which a firm has business operations,Individual other,Journal of Financial Economics,Garcia and Norli (2012),"Garcia, Diego and Oyvind Norli, 2012, ``Geographic dispersion and stock returns"", Journal of Financial Economics.",http://www.sciencedirect.com/science/article/pii/S0304405X1200133X#,z3_harddata,proprietary data,NA,NA
2012,NA,170,Political geography,Political proximity measured by political alignment index of each state's leading politicians with the ruling presidential party,Individual other,Journal of Financial Economics,"Kim, Pantzalis and Park (2012)","Kim, Chansog (Francis), Christos Pantzalis and Jung Chul Park, 2012, ``Political geography and stock returns: The value and risk implications of proximity to political power"", Journal of Financial Economics 106, 196-228.",http://www.sciencedirect.com/science/article/pii/S0304405X12000785,z3_harddata,proprietary data,NA,NA
2012,NA,180,Opportunistic buy,Prior month buy indicator for opportunistic traders who do not trade routinely,Individual microstructure,Journal of Finance,"Cohen, Malloy and Pomorski (2012)","Cohen, Lauren, Christopher Malloy and Lukasz Pomorski, 2012, Decoding inside information, Journal of Finance 67, 1009-1043.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2012.01740.x/full,z3_harddata,proprietary data,NA,NA
NA,NA,181,Opportunistic sell,Prior month sell indicator for opportunistic traders who do not trade routinely,Individual microstructure,Journal of Finance,"Cohen, Malloy and Pomorski (2012)","Cohen, Lauren, Christopher Malloy and Lukasz Pomorski, 2012, Decoding inside information, Journal of Finance 67, 1009-1043.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2012.01740.x/full,z3_harddata,proprietary data,NA,NA
2012,NA,186,Earnings conference calls,Sentiment of conference call wording,Individual other,Journal of Banking and Finance,"Price, Doran, Peterson and Bliss (2012)","Price, Mckay, James Doran, David Peterson and Barbara Bliss, Earnings conference calls and stock returns: The incremental informativeness of textual tone, Journal of Banking and Finance 36, 992-1011.",http://www.sciencedirect.com/science/article/pii/S0378426611002901,z3_harddata,proprietary data,NA,NA
2013,NA,195,Board centrality,Board centrality measured by four basic dimensions of well-connectedness,Individual other,Journal of Accounting and Economics,"Larcker, So and Wang (2013)","Larcker, David, Eric So and Charles Wang, 2013, Boardroom centrality and firm performance, Journal of Accounting and Economics 55, 225-250.",http://www.sciencedirect.com/science/article/pii/S0165410113000141,z3_harddata,proprietary data,NA,NA
2010,NA,128,Realized skewness,Realized skewness obtained from high-frequency intraday prices,Individual financial,Working Paper,"Amaya, Christoffersen, Jacobs and Vasquez (2011)","Amaya, Diego, Peter Christoffersen, Kris Jacobs and Aurelio Vasquez, 2011, Do realized skewness and kurtosis predict the cross-section of equity returns, Working Paper, HEC Montreal.",http://www.econ.queensu.ca/files/event/ACJV_28July2011.pdf,z3_harddata,similar,JFE,Intraday skewness.  Similar to ReturnSkew
2002,NA,48,Information risk,Probability of information-based trading for individual stock,Individual microstructure,Journal of Finance,"Easley, Hvidkjaer and O'Hara (2002)","Easley, David, Soeren Hvidkjaer and Maureen O'Hara, 2002, ``Is information risk a determinant of asset returns"", Journal of Finance 57, 2185-2221.",http://www.jstor.org/stable/pdfplus/3094509.pdf,2_likely,TAQ data,NA,NA
2008,NA,108,Small trades,Volume arising from small trades,Individual microstructure,Review of Financial Studies,Hvidkjaer (2008),"Hvidkjaer, Soeren, 2008, Small trades and the cross-section of stock returns, Review of Financial Studies 31, 1123-1151.",http://rfs.oxfordjournals.org/content/21/3/1123.abstract,z3_harddata,TAQ data,NA,NA
2009,NA,124,Order imbalance,Difference between buyer- and seller-initiated trades,Individual microstructure,Review of Financial Studies,"Barber, Odean and Zhu (2009)","Barber, B., T. Odean and N. Zhu, 2009, Do retail trades move markets? Review of Financial Studies, 22, 152-186.",http://rfs.oxfordjournals.org/content/22/1/151.short,z3_harddata,TAQ data,NA,NA
2011,NA,129,Realized kurtosis,Realized kurtosis obtained from high-frequency intraday prices,Individual financial,Working Paper,"Amaya, Christoffersen, Jacobs and Vasquez (2011)","Amaya, Diego, Peter Christoffersen, Kris Jacobs and Aurelio Vasquez, 2011, Do realized skewness and kurtosis predict the cross-section of equity returns, Working Paper, HEC Montreal.",http://www.econ.queensu.ca/files/event/ACJV_28July2011.pdf,z3_harddata,TAQ data,JFE,https://www.sciencedirect.com/science/article/pii/S0304405X15001257
2012,NA,188,Time-series momentum,Time-series momentum strategy based on autocorrelations of scaled returns,Individual financial,Journal of Financial Economics,"Moskowitz, Ooi and Pedersen (2012)","Moskowitz, Tobias, Yao Hua Ooi and Lasse Heje Pedersen, 2012, Time series momentum, Journal of Financial Economics 104, 228-250.",http://www.sciencedirect.com/science/article/pii/S0304405X11002613,z3_harddata,TAQ data,NA,NA
2012,NA,192,Buy orders,Sensitivity of price changes to sell orders,Individual microstructure,Journal of Financial Economics,"Brennan, Chordia, Subrahmanyam and Tong (2012)","Brennan, Michael, Tarun Chordia, Avanidhar Subrahmanyam and Qing Tong, 2009, Sell-side liquidity and the cross-section of expected stock returns, Journal of Financial Economics.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1396328,z3_harddata,TAQ data,NA,NA
NA,NA,193,Sell orders,Sensitivity of price changes to buy orders,Individual microstructure,Journal of Financial Economics,"Brennan, Chordia, Subrahmanyam and Tong (2012)","Brennan, Michael, Tarun Chordia, Avanidhar Subrahmanyam and Qing Tong, 2009, Sell-side liquidity and the cross-section of expected stock returns, Journal of Financial Economics.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1396328,z3_harddata,TAQ data,NA,NA
2012,108,NA,Jump beta,Discontinuous jump beta based on Todorov and Bollerslev (2010),Common financial,Working Paper,Sophia Zhengzi Li (2012),"Li, Zhengzi, 2012, ``Continuous beta, discontinuous beta, and the cross-section of expected stock returns"", Working Paper.",http://econ.duke.edu/people/szl,z3_harddata,TAQ data,JFE,"Weird, looks like published version has a slightly different title and two coauthors. Still I think it's the same paper."
2006,59,NA,Liquidity,Market-wide liquidity constructed first by decomposing firm-level liquidity into variable and fixed price effects then averaging the variable component,Common microstructure,Journal of Financial Economics,Sadka (2006),"Sadka, Ronnie, 2006, ``Momentum and post-earnings-announcement drift anomalies: The role of liquidity risk"", Journal of Financial Economics 80, 309-349.",http://www.sciencedirect.com/science/article/pii/S0304405X05001819,z3_harddata,TAQ data,NA,NA
2012,NA,168,Credit risk premia,Market implied credit risk premia based on the term structure of CDS spreads,Individual financial,Working Paper,"Friewald, Wagner and Zechner (2012)","Friewald, Nils, Christian Wagner and Josef Zechner, 2012, ``The cross-section of credit risk premia and equity returns"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1883101,z3_harddata,zz missing,JF,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.12143
2012,NA,173,Labor mobility,Labor mobility based on average occupational dispersion of employees in an industry,Individual accounting,Working Paper,Donangelo (2012),"Donangelo, Andres, 2012, ``Labor Mobility: Implications for Asset Pricing"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1715232,z3_harddata,zz missing,JF,"very weak (t-stat of around 2 in LS portfolios, table V)"
2007,66,NA,Earnings cyclicality,Sensitivity of earnings to changes in aggregate total factor productivity,Common macro,Working Paper,Gourio (2007),"Gourio, Francois, 2007, Labor leverage, firms' heterogeneous sensitivities to the business cycle, and the cross-section of expected returns, Working Paper, Boston University.",http://people.bu.edu/fgourio/xspaper.pdf,z3_harddata,zz missing,JFE,census data.  New version uses labor share from census.
1984,NA,NA,New listings dummy,Announcement that a company has filed a formal application to list on the NYSE,Individual accounting,Financial Analyst Journal,McConnell and Sanger (1984),"McConnell, John and Gary Sanger, 1984, A trading strategy for new listings on the NYSE, Financial Analysts Journal 40, 34-38.",http://www.jstor.org/stable/pdfplus/4478714.pdf?acceptTC=true,z3_harddata,zz missing,NA,Studies OTC stocks
